3557 - 05,06,07,09,10,13,14,15,16,17,19,20,21,22,24
3556 - 01,02,03,04,05,07,09,10,12,14,16,17,19,21,23
3555 - 01,02,03,04,07,08,10,13,14,15,18,19,20,23,24
3554 - 01,03,04,05,08,09,11,12,14,15,16,18,22,23,25
3553 - 01,02,03,07,08,09,12,13,16,17,19,21,22,23,24
3552 - 04,05,06,07,11,12,14,15,16,17,18,20,21,23,25
3551 - 01,02,03,07,08,10,11,12,15,16,17,19,21,22,25
3550 - 01,04,06,07,08,12,13,15,16,18,19,20,22,23,24
3549 - 02,05,07,08,09,11,12,14,17,20,21,22,23,24,25
3548 - 04,08,09,10,11,12,13,15,16,17,19,21,23,24,25
3547 - 02,05,06,07,09,10,14,15,17,18,19,20,21,24,25
3546 - 02,03,05,07,08,11,12,13,18,19,20,22,23,24,25
3545 - 01,04,05,06,07,08,11,12,14,17,19,20,21,22,25
3544 - 01,04,05,06,08,10,11,12,15,17,20,21,22,23,25
3543 - 01,04,05,06,07,08,09,14,15,16,17,20,21,22,25
3542 - 01,02,05,08,11,12,13,15,18,19,21,22,23,24,25
3541 - 01,02,03,04,06,08,13,14,16,17,18,19,21,23,25
3540 - 01,02,03,05,06,09,10,13,14,15,16,18,22,23,25
3539 - 01,02,07,08,09,11,12,13,14,16,18,19,20,23,24
3538 - 02,03,05,08,09,10,13,14,17,19,20,21,22,24,25
3537 - 01,02,03,04,07,09,10,12,15,19,20,21,22,24,25
3536 - 01,03,04,06,07,08,09,10,11,15,16,17,18,22,24
3535 - 02,03,06,07,08,09,11,13,18,19,20,21,22,24,25
3534 - 01,03,07,09,11,12,13,14,15,16,17,19,20,21,22
3533 - 01,03,05,06,08,11,12,13,14,15,19,20,22,23,25
3532 - 02,03,04,05,06,07,08,10,11,12,14,15,17,23,25
3531 - 01,03,04,05,07,08,10,11,12,14,15,16,18,19,22
3530 - 01,02,03,05,07,11,12,13,15,16,20,22,23,24,25
3529 - 01,07,08,10,11,12,14,15,16,17,18,19,20,22,24
3528 - 01,03,05,06,07,09,10,16,18,19,20,22,23,24,25
3527 - 02,03,04,06,07,09,13,14,15,16,17,19,20,23,24
3526 - 01,03,07,08,10,12,14,15,17,18,19,20,21,22,23
3525 - 01,02,03,07,10,11,14,15,16,17,18,20,21,23,24
3524 - 02,03,04,05,07,09,12,13,14,15,16,17,18,22,24
3523 - 05,06,08,09,10,11,12,14,15,16,17,19,23,24,25
3522 - 01,02,04,05,07,08,10,11,12,14,15,17,20,22,24
3521 - 06,07,08,09,10,11,12,13,14,15,19,20,21,22,23
3520 - 01,03,07,08,10,12,13,15,16,18,19,20,21,22,23
3519 - 04,05,06,07,08,13,14,16,17,18,20,21,22,23,25
3518 - 02,05,06,07,11,12,13,14,16,17,19,21,22,24,25
3517 - 01,02,03,07,08,11,12,14,17,18,19,20,21,22,24
3516 - 02,03,06,11,12,13,14,15,17,18,19,20,21,23,25
3515 - 01,02,03,04,05,06,07,09,14,15,16,17,21,23,24
3514 - 01,03,04,05,06,08,10,12,13,16,17,20,21,23,24
3513 - 03,04,05,06,07,11,13,14,15,16,18,20,22,23,24
3512 - 01,02,03,04,05,06,09,12,13,14,15,17,19,20,22
3511 - 02,03,05,06,07,08,09,12,13,14,15,19,20,23,24
3510 - 01,02,03,04,05,06,07,08,13,14,15,17,21,22,23
3509 - 01,03,04,07,09,10,12,14,15,16,19,21,22,24,25
3508 - 01,03,04,05,06,08,11,13,14,16,17,20,21,22,24
3507 - 02,03,04,07,09,10,11,12,17,18,19,21,22,24,25
3506 - 03,04,05,06,08,11,12,13,16,17,18,22,23,24,25
3505 - 01,02,03,04,06,07,08,09,11,14,16,20,21,23,25
3504 - 01,02,04,06,07,09,10,12,15,16,17,21,22,23,25
3503 - 01,04,06,07,08,10,11,12,14,15,16,18,21,24,25
3502 - 04,05,06,07,08,09,14,15,16,17,18,19,20,21,25
3501 - 01,03,07,09,11,12,13,15,16,18,19,20,21,22,24
3500 - 01,02,04,05,06,07,09,10,11,12,14,16,18,19,21
3499 - 01,05,07,09,10,11,12,13,14,17,18,19,23,24,25
3498 - 01,02,03,04,05,07,08,09,15,16,17,19,21,22,24
3497 - 01,02,03,04,06,10,11,12,13,14,15,18,19,21,25
3496 - 01,04,05,08,09,11,13,14,15,16,17,18,20,23,24
3495 - 02,03,06,08,09,11,12,15,16,18,19,20,22,23,25
3494 - 01,04,09,10,11,12,14,15,16,17,19,21,22,24,25
3493 - 02,03,04,05,06,10,11,13,15,16,19,20,21,23,24
3492 - 02,03,04,08,09,10,13,17,18,19,20,21,22,23,25
3491 - 01,02,04,08,09,10,12,13,15,17,21,22,23,24,25
3490 - 02,03,04,07,08,11,13,14,15,16,18,19,21,23,25
3489 - 01,02,05,08,09,11,14,16,17,20,21,22,23,24,25
3488 - 01,03,04,05,06,08,09,11,12,13,14,15,17,22,25
3487 - 02,04,05,07,10,12,13,15,16,17,18,19,21,22,23
3486 - 02,06,07,08,09,10,11,12,16,17,18,19,22,24,25
3485 - 02,03,04,05,06,09,10,11,12,13,15,18,20,22,25
3484 - 01,03,04,05,07,08,09,11,13,14,15,17,23,24,25
3483 - 02,04,07,08,09,12,13,14,15,17,18,20,22,24,25
3482 - 01,02,04,05,09,10,13,14,15,17,19,20,22,24,25
3481 - 01,02,03,04,05,07,09,10,13,14,19,21,22,23,24
3480 - 03,05,06,08,09,12,13,14,15,16,17,20,21,22,23
3479 - 01,05,06,08,09,10,12,13,15,16,18,19,23,24,25
3478 - 01,04,05,06,07,08,09,10,12,14,15,17,21,22,24
3477 - 02,03,05,06,08,12,15,16,17,18,20,21,23,24,25
3476 - 03,05,06,07,08,10,12,15,16,17,19,20,23,24,25
3475 - 01,03,04,05,06,11,14,15,18,20,21,22,23,24,25
3474 - 01,04,06,08,09,10,12,13,14,15,18,19,20,21,25
3473 - 02,03,04,05,06,07,09,12,13,14,17,18,19,23,25
3472 - 02,03,05,07,10,11,12,13,15,18,19,21,23,24,25
3471 - 01,02,03,05,06,11,13,16,17,19,21,22,23,24,25
3470 - 01,04,05,07,08,10,12,13,14,18,20,21,22,23,24
3469 - 01,03,05,06,07,08,11,12,13,15,17,18,21,22,24
3468 - 01,03,04,06,09,10,12,13,14,18,19,21,23,24,25
3467 - 03,04,05,06,07,08,09,13,14,16,18,19,20,21,25
3466 - 01,05,06,07,09,10,12,15,17,18,19,21,23,24,25
3465 - 01,04,05,06,09,10,11,12,14,15,17,18,21,22,24
3464 - 01,03,04,06,11,13,14,15,16,17,18,20,21,22,25
3463 - 01,02,04,06,07,08,11,14,15,16,17,18,19,21,22
3462 - 01,02,09,10,13,14,15,16,17,18,19,20,22,24,25
3461 - 02,03,04,05,06,08,09,10,11,13,18,19,21,23,25
3460 - 01,02,03,04,06,08,11,12,16,17,18,19,22,23,25
3459 - 01,03,05,06,07,12,14,15,17,18,19,20,22,23,25
3458 - 02,03,04,05,07,08,09,10,11,14,16,18,20,23,25
3457 - 01,02,04,06,09,10,11,12,16,17,18,20,22,23,25
3456 - 01,02,03,05,06,07,11,12,13,15,16,19,22,23,25
3455 - 01,02,03,05,06,09,10,13,15,17,19,21,22,23,25
3454 - 02,03,04,07,09,10,11,13,14,15,17,18,20,22,24
3453 - 02,03,04,05,07,09,10,11,12,13,19,21,23,24,25
3452 - 01,04,05,08,09,11,12,13,15,16,18,19,20,21,25
3451 - 01,02,06,07,08,09,14,15,17,18,20,21,22,24,25
3450 - 01,02,04,05,06,07,11,12,13,14,15,18,23,24,25
3449 - 01,04,07,08,11,13,15,16,18,20,21,22,23,24,25
3448 - 01,03,05,07,09,10,11,12,14,16,17,20,21,23,25
3447 - 02,03,06,07,11,12,13,14,17,18,19,20,21,22,23
3446 - 03,04,05,07,09,10,12,13,16,19,21,22,23,24,25
3445 - 01,02,04,05,06,09,11,12,14,18,19,20,21,22,25
3444 - 02,03,06,07,09,11,12,13,16,17,19,21,22,24,25
3443 - 01,04,05,06,08,10,11,12,13,15,16,19,20,24,25
3442 - 01,03,05,06,07,09,10,13,15,16,18,19,21,23,25
3441 - 01,02,03,04,05,11,14,16,18,20,21,22,23,24,25
3440 - 01,03,04,06,07,08,09,12,13,15,16,17,18,21,25
3439 - 02,03,04,05,06,07,09,10,11,12,14,15,16,22,23
3438 - 02,04,08,09,10,11,12,13,15,16,17,18,19,23,24
3437 - 01,05,06,08,09,11,12,14,15,17,19,20,22,24,25
3436 - 01,02,03,06,08,11,13,14,15,16,17,20,22,23,25
3435 - 01,03,06,10,11,12,13,14,16,18,21,22,23,24,25
3434 - 02,04,05,07,08,10,13,15,16,18,19,20,21,23,24
3433 - 01,02,03,06,09,11,12,13,16,17,18,19,21,23,24
3432 - 04,09,11,12,13,14,15,16,17,18,19,20,21,23,24
3431 - 02,03,04,06,07,09,11,12,14,16,17,18,19,21,24
3430 - 02,05,07,09,10,12,16,17,18,20,21,22,23,24,25
3429 - 01,02,03,05,07,08,09,14,15,16,17,19,20,21,24
3428 - 03,05,07,11,12,13,14,15,16,19,20,22,23,24,25
3427 - 01,02,06,07,09,10,11,15,17,18,19,20,21,22,24
3426 - 01,04,05,06,08,10,11,12,13,15,16,17,18,20,21
3425 - 04,05,06,07,08,09,10,11,13,15,16,17,21,24,25
3424 - 03,06,08,11,13,16,17,18,19,20,21,22,23,24,25
3423 - 01,02,03,04,08,11,12,14,15,17,18,19,20,22,23
3422 - 01,02,03,04,05,06,07,11,14,16,17,21,22,23,24
3421 - 01,02,03,06,09,12,14,15,16,17,20,21,22,23,24
3420 - 03,05,06,07,11,14,15,16,17,18,19,21,22,23,25
3419 - 01,02,03,04,06,07,09,10,12,13,15,17,19,20,25
3418 - 02,03,04,05,06,07,08,10,12,13,16,20,21,23,24
3417 - 03,04,06,07,08,09,10,11,12,13,15,17,22,24,25
3416 - 02,03,04,05,07,10,11,12,13,14,17,19,20,21,24
3415 - 01,02,04,06,07,10,11,13,14,15,16,17,18,21,25
3414 - 01,02,04,05,06,10,12,13,14,16,18,21,22,24,25
3413 - 01,02,03,04,09,11,12,13,16,18,19,20,22,23,25
3412 - 03,04,06,07,11,12,13,14,16,17,19,21,22,23,24
3411 - 01,02,05,06,10,13,14,15,16,18,20,22,23,24,25
3410 - 01,04,05,07,08,09,10,11,12,13,14,16,18,23,24
3409 - 01,02,04,05,06,09,10,11,12,13,14,16,21,22,23
3408 - 02,03,06,07,09,10,11,13,14,15,18,19,20,24,25
3407 - 03,06,07,08,09,11,12,13,14,15,16,17,19,20,25
3406 - 01,03,05,06,07,09,10,13,14,17,19,21,22,23,25
3405 - 02,06,07,11,12,13,14,15,16,17,18,20,22,23,25
3404 - 02,03,04,05,07,08,11,12,13,16,17,19,21,22,25
3403 - 01,02,04,07,08,09,11,12,13,15,18,19,21,22,25
3402 - 01,02,04,07,09,10,11,13,14,15,18,19,20,24,25
3401 - 02,03,04,05,06,08,09,12,15,16,17,18,20,21,25
3400 - 01,03,04,05,07,08,09,11,13,14,16,19,22,23,24
3399 - 01,03,05,06,08,10,13,14,15,16,17,21,23,24,25
3398 - 01,02,03,04,05,07,09,10,12,14,16,17,18,19,24
3397 - 01,03,04,06,07,09,10,11,12,13,17,18,20,22,23
3396 - 01,02,03,04,05,06,07,10,11,12,15,16,17,19,22
3395 - 02,04,05,06,07,08,10,12,16,17,19,20,22,23,24
3394 - 01,02,03,04,05,06,07,09,10,11,16,17,18,19,22
3393 - 01,02,07,08,10,11,12,14,15,17,18,19,23,24,25
3392 - 01,02,03,06,07,08,09,11,13,14,17,18,19,22,24
3391 - 01,04,06,07,10,11,12,14,15,16,17,20,21,23,25
3390 - 01,02,03,04,06,08,12,13,15,16,19,20,21,22,24
3389 - 01,06,07,08,09,10,12,15,17,18,20,21,22,23,24
3388 - 02,03,04,05,06,08,12,14,16,17,18,19,21,22,25
3387 - 01,03,04,06,08,09,10,12,13,14,15,17,22,23,25
3386 - 01,02,03,04,05,08,11,13,15,16,19,20,21,22,23
3385 - 01,02,03,06,07,08,11,13,14,17,18,20,23,24,25
3384 - 02,03,04,08,09,10,11,12,14,15,17,21,22,23,25
3383 - 01,02,03,04,05,06,08,09,10,11,13,14,15,23,24
3382 - 02,03,04,05,08,09,11,13,15,19,21,22,23,24,25
3381 - 07,08,09,10,11,12,14,15,16,17,18,19,20,21,25
3380 - 02,05,06,07,11,12,14,15,16,17,20,21,23,24,25
3379 - 03,05,06,07,09,10,11,12,14,15,17,21,22,24,25
3378 - 01,03,04,06,07,09,12,13,14,15,17,18,19,24,25
3377 - 01,02,03,05,06,07,09,10,11,16,18,19,21,22,25
3376 - 01,02,04,05,07,09,10,11,14,17,18,21,23,24,25
3375 - 01,02,03,07,08,09,12,15,16,20,21,22,23,24,25
3374 - 04,05,06,07,08,10,11,12,14,15,17,18,20,21,24
3373 - 01,03,04,06,10,12,13,14,15,17,19,21,22,23,24
3372 - 01,03,04,07,08,09,11,12,13,15,18,19,20,22,24
3371 - 06,07,08,11,13,15,16,17,18,19,20,21,22,23,24
3370 - 02,05,06,07,08,09,10,11,12,14,17,18,23,24,25
3369 - 01,04,05,06,08,09,10,13,18,19,20,22,23,24,25
3368 - 01,02,04,05,07,09,10,13,14,16,19,21,22,23,25
3367 - 01,02,03,07,08,09,10,13,14,15,16,18,20,21,22
3366 - 02,03,05,06,08,11,14,15,16,18,19,21,22,24,25
3365 - 01,02,04,05,06,08,10,11,12,13,14,15,18,20,23
3364 - 02,06,07,10,11,12,13,14,18,20,21,22,23,24,25
3363 - 03,05,08,09,11,13,15,16,17,18,19,20,22,24,25
3362 - 01,02,03,04,06,10,11,13,14,15,16,21,22,23,24
3361 - 01,02,05,08,09,10,11,13,16,17,18,20,22,23,24
3360 - 01,02,03,04,06,08,09,10,11,16,17,20,21,23,25
3359 - 01,02,07,08,09,11,13,14,16,19,20,22,23,24,25
3358 - 01,02,04,06,07,08,09,10,11,14,15,17,18,19,24
3357 - 01,02,03,05,07,08,09,11,13,14,15,19,20,24,25
3356 - 04,06,07,08,11,14,15,16,17,18,19,20,22,23,24
3355 - 01,02,03,05,08,09,11,12,13,14,18,19,20,22,25
3354 - 01,02,03,05,07,08,09,13,14,15,16,18,20,24,25
3353 - 01,03,05,07,08,12,13,14,16,17,18,20,23,24,25
3352 - 01,02,03,10,11,13,14,15,16,18,19,21,22,23,25
3351 - 01,04,05,08,09,11,13,14,15,16,17,18,19,22,24
3350 - 01,02,07,10,12,13,14,16,18,19,20,21,22,23,25
3349 - 01,03,04,06,09,10,11,12,13,14,17,19,21,23,25
3348 - 02,04,05,07,08,09,10,13,18,20,21,22,23,24,25
3347 - 01,02,03,04,05,06,08,10,11,12,14,16,17,22,24
3346 - 02,04,05,07,08,09,10,11,13,14,16,18,20,23,25
3345 - 01,02,04,09,11,12,13,14,17,18,19,20,21,23,24
3344 - 01,02,04,06,09,10,12,13,14,15,19,21,23,24,25
3343 - 01,02,06,07,09,11,13,15,16,17,19,20,21,22,25
3342 - 01,02,05,07,08,10,12,13,16,17,18,19,20,22,24
3341 - 01,02,04,06,07,08,11,12,13,14,17,19,21,24,25
3340 - 01,03,06,09,11,13,14,15,17,19,21,22,23,24,25
3339 - 03,04,05,09,10,11,12,13,14,16,17,19,21,24,25
3338 - 01,02,04,06,07,09,10,13,14,15,16,18,21,24,25
3337 - 01,03,04,05,07,08,10,11,14,15,16,18,19,23,24
3336 - 01,05,06,07,11,14,15,16,17,19,20,21,22,23,25
3335 - 01,02,03,05,07,08,09,11,12,15,17,18,19,20,25
3334 - 02,03,04,06,08,11,14,15,16,17,19,20,22,23,25
3333 - 01,03,04,05,08,09,11,13,15,19,20,21,22,24,25
3332 - 01,04,05,06,07,08,09,11,15,16,17,18,19,20,21
3331 - 03,05,06,07,08,09,10,11,12,15,17,18,21,23,25
3330 - 01,02,07,09,10,12,13,14,15,18,21,22,23,24,25
3329 - 01,03,04,05,08,11,12,13,15,16,19,22,23,24,25
3328 - 01,02,04,05,06,07,10,13,14,15,17,19,21,22,23
3327 - 02,09,10,11,13,14,15,16,17,19,20,21,22,23,24
3326 - 01,02,03,06,10,11,12,13,15,16,19,20,21,22,23
3325 - 01,03,04,06,07,10,12,14,17,18,20,22,23,24,25
3324 - 02,03,04,06,07,10,11,12,13,14,15,16,20,22,24
3323 - 03,04,05,06,08,09,11,14,16,19,20,21,22,23,24
3322 - 02,03,06,07,08,09,10,11,13,14,15,16,17,22,23
3321 - 02,04,07,08,10,11,12,15,16,17,18,20,22,24,25
3320 - 02,03,04,05,06,08,09,12,15,17,18,19,22,24,25
3319 - 01,04,05,06,07,14,15,16,17,19,20,21,22,23,25
3318 - 01,03,06,09,10,11,12,13,14,15,19,20,22,24,25
3317 - 01,02,03,04,05,06,11,12,13,14,18,20,21,22,25
3316 - 02,03,07,10,11,14,15,16,17,18,20,21,22,23,25
3315 - 02,03,04,06,07,08,09,11,12,14,17,18,21,24,25
3314 - 01,02,03,05,06,07,08,10,13,14,15,17,19,22,25
3313 - 01,04,05,06,07,09,11,13,14,16,17,18,19,20,24
3312 - 01,02,03,04,05,06,08,09,13,15,16,17,20,21,25
3311 - 02,03,04,05,06,09,10,11,12,14,17,19,20,22,24
3310 - 01,02,04,05,06,07,10,12,13,16,18,19,20,21,24
3309 - 02,03,05,09,10,11,13,14,15,18,19,21,22,23,25
3308 - 01,06,07,08,10,11,12,13,14,15,16,18,23,24,25
3307 - 01,05,08,09,10,11,12,16,18,19,21,22,23,24,25
3306 - 04,05,06,08,09,10,11,14,15,17,18,19,21,22,24
3305 - 03,04,05,07,08,09,12,13,17,19,20,21,23,24,25
3304 - 01,03,04,05,07,09,10,11,12,14,15,19,20,21,23
3303 - 02,03,04,05,06,07,08,13,16,18,20,21,22,23,24
3302 - 01,02,03,05,06,08,09,10,11,12,13,15,19,24,25
3301 - 03,04,05,07,08,10,11,14,15,18,19,20,22,24,25
3300 - 02,03,04,05,08,11,12,14,15,16,18,21,22,24,25
3299 - 01,02,03,06,07,09,10,13,14,15,17,20,22,24,25
3298 - 01,03,04,06,07,10,11,15,17,18,19,20,21,22,24
3297 - 05,06,07,09,10,12,13,15,17,20,21,22,23,24,25
3296 - 01,02,05,06,08,10,11,13,15,17,18,19,20,21,22
3295 - 01,02,03,05,07,08,10,11,13,16,17,20,21,22,25
3294 - 01,02,06,09,10,12,13,16,17,18,19,20,22,24,25
3293 - 02,03,07,09,10,11,12,15,16,18,19,20,22,24,25
3292 - 01,03,05,06,08,09,10,12,13,17,18,19,21,24,25
3291 - 01,03,04,05,06,07,10,12,14,15,16,17,18,20,23
3290 - 01,04,07,08,11,12,13,14,15,17,18,19,21,24,25
3289 - 01,02,04,05,07,09,11,13,14,16,19,20,21,22,24
3288 - 01,02,03,04,06,08,09,10,11,12,13,14,18,22,24
3287 - 01,02,03,04,06,11,12,13,14,15,16,20,22,23,25
3286 - 01,04,05,06,07,08,11,13,14,18,20,21,23,24,25
3285 - 01,03,04,06,07,09,10,11,13,14,15,17,20,23,24
3284 - 03,04,05,06,08,14,16,17,18,19,20,21,22,24,25
3283 - 09,10,11,13,14,15,16,17,18,19,21,22,23,24,25
3282 - 06,07,08,09,10,11,12,16,17,18,19,21,22,24,25
3281 - 03,05,06,08,09,11,12,13,14,16,17,21,22,23,24
3280 - 02,04,05,08,10,11,12,14,15,17,18,20,22,24,25
3279 - 02,04,05,07,09,10,14,17,18,19,21,22,23,24,25
3278 - 05,06,07,08,11,12,13,17,18,19,20,21,22,24,25
3277 - 01,03,07,08,09,10,11,13,15,16,18,20,21,24,25
3276 - 02,04,05,07,08,09,10,13,14,15,16,19,20,22,24
3275 - 03,04,05,06,09,10,11,13,14,15,19,20,22,23,24
3274 - 01,02,03,04,05,07,08,11,14,16,19,20,23,24,25
3273 - 02,04,06,07,08,10,12,15,16,17,21,22,23,24,25
3272 - 01,02,03,06,07,08,10,13,14,15,16,18,22,23,25
3271 - 01,04,05,07,08,09,10,11,13,15,16,18,21,23,25
3270 - 01,02,03,05,06,09,10,12,14,16,17,18,19,22,25
3269 - 02,04,05,07,08,10,11,12,14,16,18,19,21,23,24
3268 - 01,02,06,07,10,11,12,14,16,17,18,20,23,24,25
3267 - 01,03,04,05,08,10,11,13,15,18,19,20,22,23,24
3266 - 01,03,04,05,06,09,10,11,12,13,14,16,17,20,23
3265 - 02,03,05,06,07,08,10,13,15,16,17,19,20,23,24
3264 - 03,04,05,06,07,09,10,11,13,14,16,20,21,23,25
3263 - 02,04,06,08,11,13,14,15,16,17,19,20,21,22,24
3262 - 01,03,06,07,08,09,10,12,13,14,15,18,19,20,24
3261 - 03,04,05,06,07,08,10,11,12,14,15,16,21,24,25
3260 - 01,02,04,06,11,14,15,16,17,18,21,22,23,24,25
3259 - 01,03,04,06,08,09,10,11,12,14,15,18,22,23,25
3258 - 02,03,04,05,07,09,10,11,12,13,19,20,21,23,25
3257 - 01,02,03,05,06,08,09,10,11,13,14,16,19,22,25
3256 - 01,02,03,06,09,10,11,13,14,15,16,18,19,21,24
3255 - 01,02,05,06,07,08,09,10,12,16,19,20,21,24,25
3254 - 03,04,05,06,07,08,10,11,16,17,18,19,21,22,24
3253 - 01,03,09,11,12,13,15,17,18,19,20,21,23,24,25
3252 - 05,08,10,11,12,14,15,16,17,18,20,21,23,24,25
3251 - 01,02,03,06,07,08,09,10,16,17,18,19,20,21,23
3250 - 01,02,03,04,07,08,09,10,11,12,13,14,19,22,23
3249 - 01,03,05,06,07,08,10,11,12,13,14,16,20,21,22
3248 - 01,03,04,05,06,08,10,11,12,14,16,18,19,20,25
3247 - 02,06,08,10,11,12,14,15,16,18,19,21,22,23,25
3246 - 04,06,07,08,10,14,15,16,19,20,21,22,23,24,25
3245 - 01,03,04,05,06,09,13,15,18,19,20,21,23,24,25
3244 - 01,02,03,04,06,07,09,10,12,14,15,16,17,19,25
3243 - 01,05,07,08,09,10,11,12,14,17,20,22,23,24,25
3242 - 01,02,03,05,07,10,12,15,16,17,18,20,21,23,25
3241 - 02,04,05,07,08,10,12,13,14,16,18,22,23,24,25
3240 - 02,03,05,08,09,11,12,13,14,15,17,18,20,22,23
3239 - 02,03,04,07,08,09,10,11,14,15,16,17,18,22,24
3238 - 01,04,05,09,10,11,13,14,16,17,18,20,21,22,24
3237 - 01,02,05,06,07,09,10,11,13,16,18,20,21,23,24
3236 - 01,09,10,11,12,13,15,16,17,18,20,22,23,24,25
3235 - 02,03,06,07,10,11,12,15,16,17,19,20,21,22,24
3234 - 05,06,09,10,11,12,14,16,17,18,19,21,22,23,24
3233 - 02,03,04,05,06,07,11,14,15,16,19,20,21,23,24
3232 - 01,04,05,06,07,09,10,12,13,14,16,17,20,22,25
3231 - 01,02,03,04,05,06,09,16,18,19,20,22,23,24,25
3230 - 01,03,04,05,06,09,10,11,12,13,16,19,20,21,22
3229 - 01,04,07,08,10,11,12,13,14,17,19,20,22,23,25
3228 - 04,05,06,07,08,09,10,11,12,16,19,20,21,23,25
3227 - 01,04,05,06,07,08,09,12,13,14,15,17,19,20,21
3226 - 01,02,03,04,06,08,09,11,12,14,15,18,19,20,22
3225 - 01,02,03,04,08,11,12,15,16,17,18,20,21,22,25
3224 - 01,02,03,05,06,08,10,14,16,17,18,20,22,23,25
3223 - 01,03,06,07,08,09,12,13,16,18,19,20,22,23,25
3222 - 01,02,06,07,08,09,12,15,16,18,19,20,21,23,24
3221 - 01,02,04,05,06,08,10,11,13,15,16,20,21,23,24
3220 - 01,03,04,06,07,09,10,11,13,15,17,18,19,20,22
3219 - 01,08,09,10,12,13,14,16,18,19,20,22,23,24,25
3218 - 02,03,04,05,06,08,13,15,16,17,20,21,23,24,25
3217 - 02,03,04,05,06,08,09,10,11,16,18,21,22,24,25
3216 - 01,03,04,06,08,09,10,11,12,13,15,16,19,20,25
3215 - 04,05,06,07,08,10,11,13,14,15,16,17,20,22,24
3214 - 02,03,05,07,08,10,11,13,15,18,19,22,23,24,25
3213 - 01,02,04,07,08,09,10,11,13,16,19,20,21,22,25
3212 - 01,04,06,07,10,12,14,15,16,18,19,21,22,23,25
3211 - 01,02,03,05,12,13,15,16,17,18,19,21,22,23,25
3210 - 01,03,04,07,09,10,12,16,17,18,19,20,21,24,25
3209 - 01,02,03,04,07,09,10,11,14,15,16,17,19,20,24
3208 - 01,06,08,09,10,12,13,14,15,16,18,19,20,22,25
3207 - 01,02,03,04,06,08,09,11,12,13,15,17,18,20,23
3206 - 04,05,07,09,10,13,14,15,16,19,20,21,23,24,25
3205 - 01,03,04,07,08,10,12,13,16,17,19,21,23,24,25
3204 - 02,03,05,06,11,12,13,16,17,18,19,20,21,22,23
3203 - 02,03,04,05,10,11,12,15,17,18,19,20,22,24,25
3202 - 03,04,06,08,10,11,12,14,15,17,18,19,22,23,25
3201 - 02,04,05,06,08,10,11,13,19,20,21,22,23,24,25
3200 - 01,02,04,05,06,08,10,12,14,16,17,19,22,23,25
3199 - 01,02,04,08,10,11,13,14,15,20,21,22,23,24,25
3198 - 02,03,05,06,07,08,09,10,12,14,16,20,22,24,25
3197 - 03,04,06,09,11,12,13,15,16,18,19,20,22,24,25
3196 - 01,02,03,04,05,07,09,12,13,17,19,20,21,22,25
3195 - 01,02,03,04,05,09,11,13,18,19,20,21,23,24,25
3194 - 01,02,04,06,08,09,12,13,15,17,18,20,21,24,25
3193 - 02,04,06,07,09,10,11,12,13,18,20,22,23,24,25
3192 - 01,02,03,04,05,06,08,09,12,13,18,20,21,24,25
3191 - 01,03,04,05,06,10,11,14,15,17,19,22,23,24,25
3190 - 03,04,05,06,10,12,13,15,16,18,19,21,22,23,25
3189 - 02,04,07,09,11,12,13,15,18,19,20,21,23,24,25
3188 - 02,03,04,06,09,10,12,13,15,16,17,18,20,23,25
